Problem1,learning_error,0
Problem1,learning_paths,63
Problem1,learning_states,24
Problem11,learning_error,20
Problem11,learning_paths,93
Problem11,learning_states,42
Problem12,learning_error,15
Problem12,learning_paths,128
Problem12,learning_states,56
Problem13,learning_error,16
Problem13,learning_paths,87
Problem13,learning_states,37
Problem14,learning_error,24
Problem14,learning_paths,576
Problem14,learning_states,183
Problem15,learning_error,37
Problem15,learning_paths,494
Problem15,learning_states,172
Problem16,learning_error,10
Problem16,learning_paths,575
Problem16,learning_states,190
Problem17,learning_error,41
Problem17,learning_paths,749
Problem17,learning_states,238
Problem18,learning_error,0
Problem18,learning_paths,519
Problem18,learning_states,174
Problem19,learning_error,3
Problem19,learning_paths,729
Problem19,learning_states,200
Problem2,learning_error,0
Problem2,learning_paths,62
Problem2,learning_states,24
Problem3,learning_error,0
Problem3,learning_paths,65
Problem3,learning_states,25
Problem4,learning_error,0
Problem4,learning_paths,511
Problem4,learning_states,155
Problem5,learning_error,0
Problem5,learning_paths,649
Problem5,learning_states,196
Problem6,learning_error,0
Problem6,learning_paths,526
Problem6,learning_states,178
Problem7,learning_error,0
Problem7,learning_paths,443
Problem7,learning_states,154
Problem8,learning_error,0
Problem8,learning_paths,234
Problem8,learning_states,67
Problem9,learning_error,0
Problem9,learning_paths,665
Problem9,learning_states,191
